Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
38,No,nil,573,research & development,6,3,MEDICAL,1,107,2_,FEMALE,79,1,2,research scientist,4,divorced,5329,15717,7,Y,YES,12,3,4,80,3,17,3,3,13,11,1,9_
34,No,TRAVEL_RARELY,1153,RESEARCH & DEVELOPMENT,1,2,Medical,1,110,1,M,94,3,2_,MANUFACTURING DIRECTOR,2,Married,4325,17736,1,Y,No,15,3,3,80,0_,5,2,3,5,2,1,3
56,0,rare,,research & development,7,3,LIFE SCIENCES,1,112,4,m,49,1,3,manufacturing director,4,single,7260,21698,4,Y,NO,11,3,1,80,0,37,3?,2,6,4,0,2
23,0,Travel_Rarely,541,Sales,2,1,TECHNICAL DEGREE,1,113,3,MALE,62,3,1,Sales Rep,1,Divorced,2322,9518,3,Y,0,13,3,3,80,1,3,3,3,0,0,0,0
,no,rare,432,r&d,9,4,ls,1,116,4,MALE,96,3,1,lab technician,4,Married,2075,18725,3,Y,no,23,4,2,80,2,10,4,3,4,2,0,3
30,0,Travel_Rarely,288,Research & Development,2,3,ls,1,117,3,Male,99,2,2,HEALTHCARE REPRESENTATIVE,4,MARRIED,4152,15830,1,Y,no,19,3,1,80,3,11,3,3,11,10,10,8
46,,TRAVEL_RARELY,669,Sale,9,2,MEDICAL,1,118,3,MALE,64,2,3,Sales Exe,4,SINGLE,9619,13596,1,Y,NO,16,3,4,80,0,9,3,3,9,8,4,7
40,NO,travel_frequently,530,RESEARCH & DEVELOPMENT,1,4,LS,1,119,,M,78,2,4,Healthcare Representative,2,married,13503,14115?,1,Y,No,22,4,4,80,1,22,3?,2,22,3,11,11
51,no,Travel_Rarely,632,sale,21,4,mkt,1,120,3,Male,71,3,2,Sales Exe,4,SINGLE,5441,8423,0,Y,YES,22,4,4,80,0,11,2,1,10,7,1,
30,No,rare,1334,Sale,4,,med,1,,3,Female,63,2,2,SALES EXECUTIVE,2_,DIVORCED,5209,19760,1,Y,yes,12,3,2,80,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,RESEARCH & DEVELOPMENT,1,3,MED,1,124,3,M,40,2,3,Healthcare Rep,1,Married,10673,3142,2,Y,1,13,3,3,80,1,21,5,2,10,9,9,5
32,no,Travel_Rarely,1093,Sales,6,4,MED,1,125,2,,87,3,2,Sales Executive,3,single,5010,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
54,0,TRAVEL_RARELY,1217,r&d,2,4,TECHNICAL DEGREE,1,126,1,F,60,3,3,Research Director,3,MARRIED,13549,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
24,NO,TRAVEL_RARELY,1353,sales,3,2,Other,,128,1,f,33,3,2,Sales Exe,3,Married,4999,17519,0,Y,no,21,4,1,80,1,4,2,2,3,2,0,2
28,0,nil,120,sales,4,3,medical,1,129,2,M,43,3,2,SALES EXECUTIVE,3,MARRIED,4221,8863,1,Y,no,15,3,2,80,0,5,3,4,5,4,0,4
58,no,travel_rarely,682,sales,10,4,Medical,1,131,4,m,37,3,4,Sales Exe,3,SINGLE,13872,24409,0,Y,no,13,3,3,80,0,38,1,2,37,10,1,8
44,NO,nil,489,R&D,23,3,MED,1,132,2,m,67,3,2,laboratory technician,2,married,2042,25043,4,Y,0,12,3,3,80,1,17,3,4,3,2,1,2
37,yes,travel_rarely,807,hr,6,4,HR,1,133,3,M,63,3,1?,HR,1_,divorced,2073,23648,4?,Y,1,22,4,4,80,0,7,3,3,3,2,0,2
32,No,rare,827,Research & Development,1,1,LIFE SCIENCES,1,134,4,MALE,71,3,1,RESEARCH SCIENTIST,1,Single,2956,15178,1,,NO,13,3,4,80,0,1,2,3,1,0,0,0
20,YES,Travel_Frequently,871,research & development,6,3,Life Sciences,1,137,4,FEMALE,66,2,1,LABORATORY TECHNICIAN,4,Single,2926,19783,1,Y,Yes,,3,2,80,0,1,5,3,1,0,1,0
34,No,rare,665,research & development,6,4,OTHER,1,138,1,Female,41,3,2,research scientist,3,single,4809,12482,1,Y,NO,14,3,3,80,0,16,3,3,16,13?,2,10
37,0,non-travel,1040,RESEARCH & DEVELOPMENT,2,2,Life Sciences,1,139,3,M,100,2,2,healthcare representative,4,divorced,5163,15850,5,Y,no,,3,4,80,1,17,2,4,1,0,0,0
59,no,NON-TRAVEL,1420,Human Resources,2,4,HUMAN RESOURCES,1,140,3,f,32,2,5,manager,4,married,18844,21922,9,Y,NO,21,4,4,,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,r&d,1,3,ls,1,141,1,f,73,3,5,research director,2,MARRIED,18172,9755,3,Y,1,19,3,1,80,0,28,1,2,8,3,0,7
25,1,Travel_Rarely,240,sales,5,3,mkt,1,142,3,M,46,2,2,Sales Executive,3,single,5744,26959,1,Y,yes,11,3,4,80,0,6,1,3,6,4,0,3
25,0,Travel_Rarely,1280,R&D,7,1,med,1,143,4,MALE,64,2,1,RESEARCH SCIENTIST,4,Married,2889,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
22,0,TRAVEL_RARELY,534,r&d,15,3,MED,1,144,2,FEMALE,59,3,1,Lab Technician,4,SINGLE,2871,23785,1,Y,no,15,3,3,80,0,1,5,3,0,0,0,0
51,NO,frequent,1456,RESEARCH & DEVELOPMENT,1,4,medical,1,145,1,Female,30,2,3,HEALTHCARE REPRESENTATIVE,1,single,7484,25796,3,Y,NO,20,4,3,80,0,23,1,2,13,12,12,8
34,YES,travel_frequently,658,R&D,7,3,Life Sciences,1,147,1,Male,66,1,2,lab technician,3,Single,6074,22887,1,Y,1,24,4,4,80,0,9,3,3,9,7,0,6
54,no,Nil,142,Human Resources,26,3,human resources,1,148,4,f,30,4,4,Manager,4,single,17328,13871,2?,Y,yes,12,3,3,80,0,23,3,3,5?,3,4,4
24?,0,TRAVEL_RARELY,1127,Research & Development,18,1,Life Sciences,1,150,2,Male,52,3,1,LABORATORY TECHNICIAN,3,MARRIED,2774,13257,0,Y,NO,12,3,3,80,1,6,2,3,5,3,1,2
34,no,Travel_Rarely,1031,Research & Development,6,4,ls,1,151,3,,45,2,2,research scientist,2,divorced,4505,15000,6,Y,0,15,3,3,80,1,12,3,3,1,0,0,0
37,no,rare,1189,sales,3?,3,life sciences,1,,3,m,87,3,3,sales executive,4?,Single,7428,14506,2,Y,No,12,3,1?,80,0,12,3,3,5,3,1,3
34,NO,rare,1354,Research & Development,5,3,med,1,153,3,F,45,2,3,Manager,1,SINGLE,11631,5615,2,Y,NO,12,3,4,80,0,14,6,3,11,10,5,8
,NO,frequent,1467,sales,11,2,td,1,154,2,FEMALE,92,3,3,sales exe,4,MARRIED,9738,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
36,NO,TRAVEL_RARELY,922,R&D,3,2,LS,1,155,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,NO,22,4,1,80,1,7,2,3,1,0,0,0
43,NO,Travel_Frequently,394,SALES,26,2,life sciences,1,158,3,m,92,3,4,,4,married,16959,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4_,12
30,NO,Travel_Frequently,1312,R&D,23,3,LS,1,159,1,Male,96,1,1,Research Scientist,3,Divorced,2613,22310,1,Y,0,,4,3,80,3,10,2,2,10,7,0,9
33,NO,Nil,750,Sales,22,2,Marketing,1,160,3,M,95,3,2,SALES EXECUTIVE,2,MARRIED,6146,15480,0,Y,No,13,3,1,80,1,,2,4,7,7,0,7?
56,Yes,TRAVEL_RARELY,441,R&D,14,4,ls,1,161,2,F,72,3,1,RESEARCH SCIENTIST,2,married,4963,4510,9,Y,yes,18,3,1,80,3,7,2,3,5,4,4,3
51,No,travel_rarely,684,R&D,6,3,LIFE SCIENCES,1,162,1,M,51,3,5,research director,3,Single,19537,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
31,YES,travel_rarely,249,sales,6,4,ls,1,163,2,m,76,1?,2,sales exe,3,Married,6172,20739,4,Y,yes,18,3,2,80,0,12,3,2,7,7,7,7
26,0,Travel_Rarely,841,research & development,6,3,OTHER,1,164,3,F,,2,1,Research scientist,2,married,2368,23300,1,Y,NO,19,3,3,80,0,5,3,2,5,4,4,3
58,YES,Travel_Rarely,147,Research & Development,23,4,medical,1,165,4,FEMALE,94,3,3,healthcare representative,4,married,10312,3465,1,Y,NO,12,3,4,80,1,40,3,2,40,10,15,6
19,Yes,rare,528,SALES,22,1,marketing,1,167,4,MALE,50,3,1,sales representative,3,SINGLE,1675,26820,1,Y,1,19,3,4,80,0,0,2,2,0,0,0,0
22,NO,travel_rarely,594,research & development,2,1,TECHNICAL DEGREE,1,169,3,,100,3,1,Lab Technician,4,Married,2523,19299?,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
49,No,travel_rarely,470,Research & Development,20,4,medical,1,170,3,,96,3,2,MANUFACTURING DIRECTOR,1,married,,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
43,No,frequent,957,Research & Development,28,3,med,1,171,2,Female,72,4,1,research scientist,3,single,4739,16090,4,Y,No,12,3,4,80,0_,18,2,3,3,2,1,2
50,NO,frequent,809,sales,12,3,marketing,1,174,3,F,77,3,3,Sales Executive,4,single,9208,6645,4,Y,no,11,3,4,80,0,16,3,3,2,2,2,1
31,yes,rare,542,sale,20,3_,Life Sciences,1,175,2,FEMALE,71,1,2,sales executive,3,married,4559,24788,3,Y,YES,11,3,3,80,1,4,2,3,2,2,2,2
41,No,rare,802,Sales,9,1,life sciences,1,176,3,m,96,3,3,SALES EXECUTIVE,3,divorced,8189,21196,3,Y,1,13,3,3,80,1,12,2,3,9,7,0,7
26,NO,rare,1355,human resources,25,1?,LS,1,177,3,FEMALE,61,3,1,Human Resources,3,MARRIED,2942,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7?
36?,,Travel_Rarely,216,RESEARCH & DEVELOPMENT,6,2,medical,1,178,2,MALE,84,3_,,MANUFACTURING DIRECTOR,2,divorced,4941,2819,6,Y,no,20,4,4,80,2,7,0,3?,3,2,0,1
51,1,frequent,1150,r&d,8,4,LIFE SCIENCES,1,179,1,M,53,1,,manufacture director,4,single,10650,25150,2,Y,No,15,3,4,80,,18,2,3,4,2,,3
39,0,Travel_Rarely,1329,sales,4,4,ls,1,182,4,f,47,2,2,Sales Exe,3,Married,5902,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
25,0,travel_rarely,959,sales,28,3,life sciences,1,183,1,Male,41,2,2,sales exe,3,Married,8639,24835,2,Y,no,18,3,4,80,0,6,3,3,2,2,2,2
30,0,rare,1240,HUMAN RESOURCES,9,3,human resources,1,184,3,MALE,48,3,2,hr,4,married,6347,13982,0,Y,YES,19,3,4,80,0,12,2,1,11,9,4,7
32,yes,travel_rarely,1033,RESEARCH & DEVELOPMENT,9,3,MED,1,190,1,Female,41,3,1,lab technician,1,Single,4200,10224,7,Y,No,22,4,1,80,0,10,2,4,5,4,0,4
